"Page","State","DnaImports","UiImports","UiImportList","RawInput","RawSelect","RawTextarea","RawTable","RawInputDate","DnaDataTableCard","DnaPageHeader","DnaKpiGrid","DnaCell","DnaSearchableSelect","DnaDatePicker","DnaNumberInput","DnaCurrencyInput","DnaConfirmDialog","UseDnaToast","DnaModal","DnaToolbar","DnaSelect","DnaInput","DnaBadge","DnaTabNav","DnaTable","BadgeBugCount","BadgeBugLines","DashboardCard","Rounded24","BorderColorVar","Score"
"finance\dp\page.tsx","MIXED","1","2","from ""@/components/ui/tabs""; from ""@/components/ui/table""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","11","0","0","3","77,78,79","0","0","0","12"
"finance\dp-pembelian\page.tsx","DNA","1","0","","3","2","1","2","1","3","2","3","0","0","0","0","0","0","2","5","0","0","0","13","2","0","0","","0","0","0","22"
"finance\dp-penjualan\page.tsx","MIXED","1","3","from ""@/components/ui/label""; from ""@/components/ui/select""; from ""@/components/ui/dialog""","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","0","0","3","145,176,203","0","0","0","3"
"finance\faktur-pembelian\page.tsx","DNA","1","0","","11","1","1","2","2","3","2","3","0","0","0","0","0","0","2","9","0","0","0","13","2","0","0","","0","0","0","19"
"finance\faktur-penjualan\page.tsx","DNA","1","0","","0","0","1","2","2","3","2","2","6","0","0","0","0","0","2","7","0","0","11","0","0","0","0","","0","0","0","30"
"finance\fund\page.tsx","MIXED","1","4","from ""@/components/ui/tabs""; from ""@/components/ui/table""; from ""@/components/ui/dialog""; from ""@/components/ui/select""","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","1","294","0","0","0","3"
"finance\fund-requests\page.tsx","DNA","1","0","","4","4","1","1","1","3","2","3","0","0","0","0","0","0","2","5","0","0","0","7","0","0","0","","0","0","0","12"
"finance\input\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","40","0","0","0","3"
"finance\invoices\page.tsx","MIXED","1","1","from ""@/components/ui/table""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","","0","0","0","4"
"finance\jurnal\page.tsx","MIXED","1","2","from ""@/components/ui/table""; from ""@/components/ui/tabs""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","0","0","0","","0","0","0","8"
"finance\jurnal-umum\page.tsx","DNA","1","0","","9","2","0","3","3","3","2","3","0","0","0","0","0","0","2","5","0","0","0","7","0","0","0","","0","0","0","8"
"finance\kas\page.tsx","MIXED","1","2","from ""@/components/ui/table""; from ""@/components/ui/tabs""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","","0","0","0","2"
"finance\laba-rugi\page.tsx","DNA","1","0","","3","0","0","2","2","3","2","3","0","0","0","0","0","0","2","3","0","0","0","3","0","0","0","","0","0","0","11"
"finance\ledger\page.tsx","DNA","1","0","","3","0","0","2","2","3","2","3","0","0","0","0","0","0","2","3","0","0","0","3","0","0","0","","0","0","0","11"
"finance\piutang\page.tsx","MIXED","1","3","from ""@/components/ui/table""; from ""@/components/ui/tabs""; from ""@/components/ui/dialog""","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6","23","0","0","3","352,417,422","0","0","0","24"
"finance\profitability\page.tsx","DNA","1","0","","0","0","0","1","0","3","2","3","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","11"
"finance\reports\page.tsx","MIXED","1","2","from ""@/components/ui/tabs""; from ""@/components/ui/table""","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","","0","1","0","1"
"finance\reports\ar-aging\page.tsx","DNA","1","0","","3","1","0","1","2","3","2","3","0","0","0","0","0","0","2","3","0","0","0","5","0","0","0","","0","0","0","13"
"finance\reports\balance-sheet\page.tsx","DNA","1","0","","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","","0","0","0","3"
"finance\reports\cash-flow\page.tsx","DNA","1","0","","2","0","0","3","2","7","2","3","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","","0","0","0","10"
"finance\reports\trial-balance\page.tsx","DNA","1","0","","3","0","0","1","2","3","2","3","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","","0","0","0","9"
"finance\sales-orders\page.tsx","MIXED","1","2","from ""@/components/ui/table""; from ""@/components/ui/dialog""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","11","0","0","3","87,170,175","0","0","0","11"
