# UUID_CONVERSION_ALLOWLIST

Generated from canonical Prisma schema. Each entry: Prisma model, table (per @@map or default snake_case), column declared @db.Uuid.
Total entries: 377

| Prisma model | Table | Column | File |
| PurchaseReturn | purchase_returns | inboundId | warehouse.prisma |
| PurchaseReturn | purchase_returns | supplierId | warehouse.prisma |
| PurchaseReturn | purchase_returns | warehouseId | warehouse.prisma |
| QCAudit | qc_audits | id | qc.prisma |
| QCAudit | qc_audits | inboundItemId | qc.prisma |
| QCAudit | qc_audits | inventoryId | qc.prisma |
| QCAudit | qc_audits | qcId | qc.prisma |
| QCAudit | qc_audits | stepLogId | qc.prisma |
| QCAudit | qc_audits | supervisorById | qc.prisma |
| QCAudit | qc_audits | supplierId | qc.prisma |
| QCChecklist | qc_checklists | createdById | qc.prisma |
| QCChecklist | qc_checklists | id | qc.prisma |
| QCChecklist | qc_checklists | workOrderId | qc.prisma |
| QCParameter | qc_parameters | formulaId | qc.prisma |
| QCParameter | qc_parameters | id | qc.prisma |
| RegulatoryPipeline | regulatory_pipelines | formulaId | legal.prisma |
| RegulatoryPipeline | regulatory_pipelines | id | legal.prisma |
| RegulatoryPipeline | regulatory_pipelines | leadId | legal.prisma |
| RegulatoryPipeline | regulatory_pipelines | legalPicId | legal.prisma |
| RegulatoryPipeline | regulatory_pipelines | materialItemId | legal.prisma |
| RegulatoryPipeline | regulatory_pipelines | sampleRequestId | legal.prisma |
| RejectExecution | reject_executions | id | qc.prisma |
| RejectExecution | reject_executions | lossAccountId | qc.prisma |
| RejectExecution | reject_executions | materialId | qc.prisma |
| RejectExecution | reject_executions | planId | qc.prisma |
| RequisitionFulfillment | requisition_fulfillments | id | production.prisma |
| RequisitionFulfillment | requisition_fulfillments | inventoryId | production.prisma |
| RequisitionFulfillment | requisition_fulfillments | requisitionId | production.prisma |
| RetentionEngine | retention_engine | id | bussdev.prisma |
| RetentionEngine | retention_engine | leadId | bussdev.prisma |
| RndStaff | rnd_staffs | id | rnd.prisma |
| RoundRobinAgent | round_robin_agents | id | marketing.prisma |
| SalesLead | sales_leads | bdId | bussdev.prisma |
| SalesLead | sales_leads | categoryId | bussdev.prisma |
| SalesLead | sales_leads | formulaId | bussdev.prisma |
| SalesLead | sales_leads | id | bussdev.prisma |
| SalesLead | sales_leads | picId | bussdev.prisma |
| SalesOrderAmendment | sales_order_amendments | changedById | bussdev.prisma |
| SalesOrderAmendment | sales_order_amendments | id | bussdev.prisma |
| SalesOrderAmendment | sales_order_amendments | newFormulaId | bussdev.prisma |
| SalesOrderAmendment | sales_order_amendments | previousFormulaId | bussdev.prisma |
| SalesOrderAmendment | sales_order_amendments | salesOrderId | bussdev.prisma |
| SalesOrderItem | sales_order_items | id | bussdev.prisma |
| SalesOrderItem | sales_order_items | materialItemId | bussdev.prisma |
| SalesOrderItem | sales_order_items | sampleId | bussdev.prisma |
