web_scraper_order,web_scraper_start_url,pagination,kode,barang,harga_beli,data,sub_kategori,kategori,satuan,barang2
"1788654371-61","https://kil.gserp.id/goods-manage","","BBK00061","Strawberry Extract","600.00","61","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-62","https://kil.gserp.id/goods-manage","","BBK00062","Blueberry Extract","600.00","62","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-63","https://kil.gserp.id/goods-manage","","BBK00063","Salicylic Acid","200.00","63","Active","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-64","https://kil.gserp.id/goods-manage","","BBK00064","Sacran-05BG","5,051.70","64","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-65","https://kil.gserp.id/goods-manage","","BBK00065","Sunhancer ECO SPF Booster","0.00","65","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-66","https://kil.gserp.id/goods-manage","","BBK00066","Sakura Extract","600.00","66","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-67","https://kil.gserp.id/goods-manage","","BBK00067","Oat Extract","1,346.00","67","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-68","https://kil.gserp.id/goods-manage","","BBK00068","Cobiowhite","7,200.00","68","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-69","https://kil.gserp.id/goods-manage","","BBK00069","Pomegranate Extract","600.00","69","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-70","https://kil.gserp.id/goods-manage","","BBK00070","BbR SA 130","2,445.00","70","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-71","https://kil.gserp.id/goods-manage","","BBK00071","Tamanu Oil","500.00","71","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-72","https://kil.gserp.id/goods-manage","","BBK00072","Eucaliptus","1,500.00","72","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-73","https://kil.gserp.id/goods-manage","","BBK00073","Citronella Oil","900.00","73","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-74","https://kil.gserp.id/goods-manage","","BBK00074","Mulberry Extract","600.00","74","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-75","https://kil.gserp.id/goods-manage","","BBK00075","Propolis Extract","2,789.00","75","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-76","https://kil.gserp.id/goods-manage","","BBK00076","Chromabright","42,000.00","76","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-77","https://kil.gserp.id/goods-manage","","BBK00077","Red Grape Extract","600.00","77","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-78","https://kil.gserp.id/goods-manage","","BBK00078","Luminia Granatum","23,613.20","78","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-79","https://kil.gserp.id/goods-manage","","BBK00079","Senbio Odor Neutralizer","1,162.85","79","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-80","https://kil.gserp.id/goods-manage","","BBK00080","Melazero","6,060.16","80","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-81","https://kil.gserp.id/goods-manage","","BBK00081","Air Mineral (Cleo)","1.10","81","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-82","https://kil.gserp.id/goods-manage","","BBK00082","Glycerin","38.50","82","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-83","https://kil.gserp.id/goods-manage","","BBK00083","BHT","250.00","83","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-84","https://kil.gserp.id/goods-manage","","BBK00084","Myritol","178.30","84","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-85","https://kil.gserp.id/goods-manage","","BBK00085","BRB 423","815.00","85","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-86","https://kil.gserp.id/goods-manage","","BBK00086","Cosmedia SP","1,255.17","86","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-87","https://kil.gserp.id/goods-manage","","BBK00087","Cerabeil White 21548","321.00","87","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-88","https://kil.gserp.id/goods-manage","","BBK00088","Cocamido Betain","33.00","88","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-89","https://kil.gserp.id/goods-manage","","BBK00089","Ceteareath-25","75.00","89","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-90","https://kil.gserp.id/goods-manage","","BBK00090","Dimethicone","57.20","90","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-91","https://kil.gserp.id/goods-manage","","BBK00091","Disodium EDTA","111.50","91","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-92","https://kil.gserp.id/goods-manage","","BBK00092","Eversoft ACS 40S","114.00","92","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-93","https://kil.gserp.id/goods-manage","","BBK00093","Eversoft ACS 30S","87.50","93","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-94","https://kil.gserp.id/goods-manage","","BBK00094","Emulgade SE PF","0.00","94","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-95","https://kil.gserp.id/goods-manage","","BBK00095","Glucotain Liquiflex","104.00","95","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-96","https://kil.gserp.id/goods-manage","","BBK00096","Kaolin","50.00","96","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-97","https://kil.gserp.id/goods-manage","","BBK00097","Butylene Glycol","61.90","97","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-98","https://kil.gserp.id/goods-manage","","BBK00098","Optasense RMA","1,406.00","98","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-99","https://kil.gserp.id/goods-manage","","BBK00099","PEG-7","128.00","99","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-100","https://kil.gserp.id/goods-manage","","BBK00100","Resasol VS","325.80","100","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-101","https://kil.gserp.id/goods-manage","","BBK00101","Shea Butter","160.00","101","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-102","https://kil.gserp.id/goods-manage","","BBK00102","Silsoft 1215","321.00","102","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-103","https://kil.gserp.id/goods-manage","","BBK00103","Tego SML","105.00","103","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-104","https://kil.gserp.id/goods-manage","","BBK00104","Tegosoft CT (Discontinue)","0.00","104","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-105","https://kil.gserp.id/goods-manage","","BBK00105","Tegocare 165","146.85","105","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-106","https://kil.gserp.id/goods-manage","","BBK00106","Texapon N70","30.00","106","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-107","https://kil.gserp.id/goods-manage","","BBK00107","Ci Number Merah Cherry","1.00","107","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-108","https://kil.gserp.id/goods-manage","","BBK00108","Ci Number Ungu Anggur","1.00","108","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-109","https://kil.gserp.id/goods-manage","","BBK00109","NACL","10.00","109","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-110","https://kil.gserp.id/goods-manage","","BBK00110","Ci Number Kuning Telur","1.00","110","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-111","https://kil.gserp.id/goods-manage","","BBK00111","Ci Number Merah Kritresin","1.00","111","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-112","https://kil.gserp.id/goods-manage","","BBK00112","Ci Number Biru Berlian Muda","1.00","112","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-113","https://kil.gserp.id/goods-manage","","BBK00113","Ci Number Hijau Apel","1.00","113","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-114","https://kil.gserp.id/goods-manage","","BBK00114","Ci Number Sunset Yellow","1.00","114","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-115","https://kil.gserp.id/goods-manage","","BBK00115","Beads Merah","3,200.00","115","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-116","https://kil.gserp.id/goods-manage","","BBK00116","SF1202","178.00","116","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-117","https://kil.gserp.id/goods-manage","","BBK00117","Tegosoft TN (C12-15AB)","180.00","117","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-118","https://kil.gserp.id/goods-manage","","BBK00118","Belsil DMC 6038","769.70","118","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-119","https://kil.gserp.id/goods-manage","","BBK00119","Weylcare ATBS","1,415.50","119","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-120","https://kil.gserp.id/goods-manage","","BBK00120","Sepimax Zen","1,299.96","120","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-121","https://kil.gserp.id/goods-manage","","BBK00121","Propylene Glycol","60.00","121","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-122","https://kil.gserp.id/goods-manage","","BBK00122","Belsil PF 200","1,100.00","122","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-123","https://kil.gserp.id/goods-manage","","BBK00123","Cocamide DEA","0.00","123","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-124","https://kil.gserp.id/goods-manage","","BBK00124","Reachin Petals PInk","2,200.00","124","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-125","https://kil.gserp.id/goods-manage","","BBK00125","TEA (Triethanolamine)","85.00","125","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-126","https://kil.gserp.id/goods-manage","","BBK00126","Zetemol 99","267.00","126","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-127","https://kil.gserp.id/goods-manage","","BBK00127","Ecorol","47.00","127","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-128","https://kil.gserp.id/goods-manage","","BBK00128","Alkohol 70%","0.00","128","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-129","https://kil.gserp.id/goods-manage","","BBK00129","Corn Starch","13.60","129","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-130","https://kil.gserp.id/goods-manage","","BBK00130","Ethanol Superfine Bit 6","39.50","130","-","Bahan Baku","ml","https://kil.gserp.id/uploads/default.png"
"1788654371-131","https://kil.gserp.id/goods-manage","","BBK00131","Spectra Iron Oxide Yellow (Colorant)","1,000.00","131","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-132","https://kil.gserp.id/goods-manage","","BBK00132","Reshine TMS 50","780.00","132","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-133","https://kil.gserp.id/goods-manage","","BBK00133","TSB-F1A","20.00","133","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-134","https://kil.gserp.id/goods-manage","","BBK00134","TIO (Triethylhexanoin)","391.70","134","","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-135","https://kil.gserp.id/goods-manage","","BBK00135","Hostapon SCI 85 P","195.30","135","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-136","https://kil.gserp.id/goods-manage","","BBK00136","Daitosol 5000 AD","539.30","136","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-137","https://kil.gserp.id/goods-manage","","BBK00137","Genamin PQ7","80.00","137","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-138","https://kil.gserp.id/goods-manage","","BBK00138","Salacos HS-6C","700.00","138","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-139","https://kil.gserp.id/goods-manage","","BBK00139","Plantapon WW-CF","55.00","139","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-140","https://kil.gserp.id/goods-manage","","BBK00140","Belsil EG 5","750.00","140","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-141","https://kil.gserp.id/goods-manage","","BBK00141","Eversoft UCS 50SG","110.00","141","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-142","https://kil.gserp.id/goods-manage","","BBK00142","Carbopol Aqua SF-1","600.00","142","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-143","https://kil.gserp.id/goods-manage","","BBK00143","Avril forbidden rose (botol kecil)","0.00","143","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-144","https://kil.gserp.id/goods-manage","","BBK00144","Victoria Scandal (Dreamlab)","0.00","144","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-145","https://kil.gserp.id/goods-manage","","BBK00145","Africana Parfume (Dreamlab)","300.00","145","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-146","https://kil.gserp.id/goods-manage","","BBK00146","Aqua di Gio (Dreamlab)","810.00","146","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-147","https://kil.gserp.id/goods-manage","","BBK00147","Bergamot EO (Dreamlab)","600.00","147","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-148","https://kil.gserp.id/goods-manage","","BBK00148","Elsa royal Perfume (Dreamlab)","0.00","148","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-149","https://kil.gserp.id/goods-manage","","BBK00149","Frangipani G2 (Dreamlab)","600.00","149","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-150","https://kil.gserp.id/goods-manage","","BBK00150","Frangipani EO (Dreamlab)","3,300.00","150","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-151","https://kil.gserp.id/goods-manage","","BBK00151","Fresh Fruity Benberg Arome (Dreamlab)","569.97","151","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-152","https://kil.gserp.id/goods-manage","","BBK00152","Lemon EO (Dreamlab)","1,500.00","152","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-153","https://kil.gserp.id/goods-manage","","BBK00153","Luxury (Dreamlab)","1,200.00","153","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-154","https://kil.gserp.id/goods-manage","","BBK00154","Mangostana & Peach (Dreamlab)","600.00","154","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-155","https://kil.gserp.id/goods-manage","","BBK00155","Malony Perfume (Dreamlab)","780.00","155","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
"1788654371-156","https://kil.gserp.id/goods-manage","","BBK00156","Platinum Low (Dreamlab)","750.00","156","-","Bahan Baku","gr","https://kil.gserp.id/uploads/default.png"
